,complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,optimality,natural,dominant,name
8485,6,,0.3749999999999999,0.625,1.0,0.6666666666666666,False,True,0.9999880227182224,False,True,sampled_lang_5408
8807,8,,0.4999999999999999,0.5,1.0,1.0,True,True,0.9999575092717458,False,True,sampled_lang_5879
9766,22,,0.8749999999999999,0.1250000000000001,1.0,1.0,True,True,0.9999774469458622,False,True,sampled_lang_17898
10415,6,,0.375,0.625,1.0,0.6666666666666666,False,True,0.9999880227182224,False,True,sampled_lang_5158
13217,12,,0.5972222222222222,0.4027777777777778,1.0,1.0,False,True,0.9999465789593084,False,True,sampled_lang_9748
14496,4,,0.3333333333333333,0.6666666666666666,1.0,1.0,True,True,0.9999946402713488,False,True,sampled_lang_469
19348,10,,0.5277777777777778,0.4722222222222222,1.0,1.0,False,True,0.9999603458780708,False,True,sampled_lang_9632
19828,4,,0.3333333333333333,0.6666666666666666,1.0,0.5,False,True,0.9999946402713488,False,True,sampled_lang_576
21017,3,,0.2222222222222222,0.7777777777777778,1.0,0.5,False,True,0.9289270763081768,False,True,sampled_lang_1665
23348,3,,0.2222222222222222,0.7777777777777778,1.0,0.5,False,True,0.9289270763081768,False,True,sampled_lang_585
25226,8,,0.4999999999999999,0.5,1.0,1.0,True,False,0.9999575092717458,False,True,sampled_lang_5474
26585,6,,0.375,0.625,1.0,0.6666666666666666,False,True,0.9999880227182224,False,True,sampled_lang_5248
27508,3,,0.2222222222222222,0.7777777777777778,1.0,0.5,False,True,0.9289270763081768,False,True,sampled_lang_1026
30182,8,,0.4999999999999999,0.5,1.0,1.0,True,True,0.9999575092717458,False,True,sampled_lang_5150
30278,10,,0.5277777777777778,0.4722222222222222,1.0,1.0,False,True,0.9999603458780708,False,True,sampled_lang_9306
31408,1,,0.1666666666666666,0.8333333333333333,1.0,0.0,False,True,0.8792548053247158,False,True,sampled_lang_63
32434,18,,0.75,0.25,1.0,1.0,False,True,0.9999517624421382,False,True,sampled_lang_13939
32802,6,,0.3749999999999999,0.625,1.0,0.6666666666666666,False,True,0.9999880227182224,False,True,sampled_lang_5053
34999,16,,0.7083333333333333,0.2916666666666667,1.0,1.0,True,True,0.9999465789593084,False,True,sampled_lang_13950
