complexity,simplicity,informativity,comm_cost,iff,sav,dlsav,deontic_priority,dp_trivial,dp_nontrivial,epistemic_priority,circ_priority,dp_restricted,optimality,natural,dominant,name,dp
3,0.9594594594594594,0.3152562207440256,0.6847437792559743,1.0,0.5,False,True,False,True,True,True,True,0.999933193769347,False,True,sampled_lang_585,dp_restricted
18,0.7567567567567568,0.5528917220990393,0.4471082779009607,1.0,1.0,False,True,False,True,True,True,False,0.9998864200659432,False,True,sampled_lang_13997,nontrivial
1,0.9864864864864864,0.2659214092140922,0.7340785907859078,1.0,0.0,False,True,False,True,True,True,True,0.9999744814877491,False,True,sampled_lang_63,dp_restricted
14,0.8108108108108107,0.5111634639073663,0.4888365360926336,1.0,1.0,False,True,False,True,True,True,False,0.9998909852123012,False,True,sampled_lang_13467,nontrivial
22,0.7027027027027026,0.5803769401330376,0.4196230598669623,1.0,1.0,True,True,False,True,True,True,False,0.9998683112818628,False,True,sampled_lang_17898,nontrivial
16,0.7837837837837838,0.552660753880266,0.4473392461197339,1.0,1.0,True,True,False,True,True,True,False,0.9999615540153468,False,True,sampled_lang_9650,nontrivial
8,0.8918918918918919,0.460150283321015,0.539849716678985,1.0,1.0,False,True,False,True,True,True,False,0.9999394259357668,False,True,sampled_lang_5711,nontrivial
6,0.9189189189189187,0.4378079576250308,0.5621920423749692,1.0,1.0,False,True,False,True,True,True,True,0.9999668686162214,False,True,sampled_lang_5718,dp_restricted
12,0.8378378378378378,0.5059127864005912,0.4940872135994087,1.0,1.0,False,True,False,True,True,True,False,0.999954219294718,False,True,sampled_lang_9594,nontrivial
10,0.8648648648648649,0.5029871889627986,0.4970128110372014,1.0,1.0,False,True,False,True,True,True,False,0.999998251553506,False,True,sampled_lang_9632,nontrivial
4,0.945945945945946,0.4254742547425474,0.5745257452574526,1.0,1.0,True,True,False,True,True,True,True,0.9999376322685364,False,True,sampled_lang_469,dp_restricted
